"Code","Event Name","Title","Composer","Arranger","Publisher [Collection]","Grade","Specification"
"108-3-31619","Vocal Solo","Cielito Lindo","Folk Song","Liebergen","Alfred Music Company, Inc. [Singer's Library of Song]","3",""
"108-3-31620","Vocal Solo","Hatikvah (The Hope)","Cohen","","Alfred Music Company, Inc. [Singer's Library of Song]","3",""
"108-3-31639","Vocal Solo","Jesu, Joy of Man's Desiring","Bach, J.S.","","Alfred Music Company, Inc. [Singer's Library of Song]","3",""
"108-3-31646","Vocal Solo","Gruss (Greeting)","Mendelssohn","","Faber Music, Ltd. [The Language of Song]","3",""
"108-3-31648","Vocal Solo","Kinderwacht","Schumann","","Faber Music, Ltd. [The Language of Song]","3",""
"108-3-31666","Vocal Solo","Sometimes I Feel Like a Motherless Child","Spiritual","Bailey","Brilee Music [Let Nature Sing]","3",""
"108-3-31734","Vocal Solo","May Sunshine Light Your Way","Traditional","Albrecht/Althouse","Alfred Music Company, Inc. [Ye Shall Have A Song]","3",""
"108-3-33728","Vocal Solo","Some Folks","Foster","","Hal Leonard Music, Inc. [Songs of Stephen Foster]","3",""
"108-3-33730","Vocal Solo","The Miller of Dee","Folk Song","Britten","Boosey & Hawkes, Inc. [Benjamin Britten Folksong Arrangements Vol 3]","3",""
"171-1-20421","Treble Small Ensemble","O Lovely Springtime (o primavera)","Anerio","Malin","Belwin, Inc","1",""
"171-1-20423","Treble Small Ensemble","In Death's Strong Grasp the Saviour Lay","Bach","Greer","E.C. Schirmer Music Company [131 Chorales, Book IV]","1",""
"171-1-20424","Treble Small Ensemble","The Nightingale","Bateson","Dart","Galaxy Music Corporation [Invitation to Madrigals, Book 3]","1",""
"171-1-20425","Treble Small Ensemble","Ah! Lovely Infant (La Bella Pargoletta)","Bell'Haver","Malin","Belwin, Inc [Songs of the Late Renaissance]","1",""
"171-1-20426","Treble Small Ensemble","Love Brings A Little Sadness (Quel tristarel d'amore)","Bellasio","Malin","Belwin, Inc","1",""
"171-1-20427","Treble Small Ensemble","If Love Love Truth","Campion","","Oxford University Press","1",""
"171-1-20428","Treble Small Ensemble","The Messenger Of Love","de Wert","Malin","Belwin, Inc [Madrigals for Treble Voices]","1",""
"171-1-20430","Treble Small Ensemble","A Shepherd In a Shade","Dowland","Thoburn","Multiple Publishers;Belwin, Inc;Warner Bros. Music Publications Inc. [Madrigals for Treble Voices]","1",""
"171-1-20431","Treble Small Ensemble","The Silver Swan","Gibbons","Malin","Belwin, Inc [Madrigals for Treble Voices]","1",""
"171-1-20432","Treble Small Ensemble","O Lovely Catalina","Guerrero","Seay","Ludwig Music Publishing Company","1",""
"171-1-20433","Treble Small Ensemble","Gold and Silver","Hayes","","Shawnee Press","1",""
"171-1-20435","Treble Small Ensemble","If It Be Love","Hilton","Stoufer","Multiple Publishers;Galaxy Music Corporation [Invitation to Madrigals, Book 3];National Music Publishers, Inc.","1",""
"171-1-20436","Treble Small Ensemble","Now Is The Summer Springing","Hilton","Malin","Belwin, Inc [Songs of the Late Renaissance]","1",""
"171-1-20437","Treble Small Ensemble","You Lovers That Have Loves Astray","Hilton","Ehret","Marks Music Corporation","1",""
"171-1-20438","Treble Small Ensemble","Beauty from the World May Vanish","L'Estocart","Malin","Belwin, Inc [Songs of the Late Renaissance]","1","(le beau du monde s'efface)"
"171-1-20439","Treble Small Ensemble","Good Man, You Are Complaining (Gut g'sell, du machst dein Klagen)","Lange","Malin","Belwin, Inc [Songs of the Late Renaissance]","1",""
"171-1-20440","Treble Small Ensemble","Ho Who Comes Here?","Morley","Kraus","G. Schirmer, Inc. [European Madrigals for Equal Voices]","1",""
"171-1-20441","Treble Small Ensemble","Il est bel et bon (He Is Good and Handsome)","Passereau","Greyson","Bourne, Co.","1",""
"171-1-20442","Treble Small Ensemble","The Boat Madrigal","Porter","","Phantom Publications, Inc.","1",""
"171-1-20443","Treble Small Ensemble","Eil Kellner und ein Koch (A Waiter and a Cook)","Rauch","Kraus","G. Schirmer, Inc. [European Madrigals for Equal Voices]","1",""
"171-1-20444","Treble Small Ensemble","My True Love Hath My Heart","Rutter","","Oxford University Press","1",""
"171-1-20445","Treble Small Ensemble","This Season Now Delights Me (Herzlich tut mich erfreuen)","Schaerer","Malin","Belwin, Inc [Songs of the Late Renaissance]","1",""
"171-1-20446","Treble Small Ensemble","Dame Nightingale (Frau Nachtigall)","Schein","Malin","Belwin, Inc","1",""
"171-1-20447","Treble Small Ensemble","Once More The Flowers Bloom (Viel schoner blumelein)","Schein","Malin","Belwin, Inc","1",""
"171-1-20448","Treble Small Ensemble","O Nightingale","Anon. or Trad.","Stanton","Theodore Presser Company","1",""
"171-1-20449","Treble Small Ensemble","Sure There Is No God Of Love","Tomkins","Dart","Multiple Publishers;Galaxy Music Corporation [Invitation to Madrigals, Book 3];Warner Bros. Music Publications Inc. [Songs of the Late Renaissance]","1",""
"171-1-20451","Treble Small Ensemble","Mother, I Will Have A Husband","Vautor","Greyson","Bourne, Co.","1",""
"171-1-20452","Treble Small Ensemble","Duo Seraphim","Victoria","Kraus","G. Schirmer, Inc. [European Madrigals for Equal Voices]","1",""
"171-1-20453","Treble Small Ensemble","Tres sunt","Victoria","Kraus","G. Schirmer, Inc. [European Madrigals for Equal Voices]","1",""
"171-1-20454","Treble Small Ensemble","Those Sweet Delightful Lilies","Weelkes","Dart","Galaxy Music Corporation [Invitation to Madrigals, Book 3]","1",""
"171-1-20455","Treble Small Ensemble","To Shorten Winter's Sadness","Weelkes","Malin","Belwin, Inc [Madrigals for Treble Voices]","1",""
"171-1-20456","Treble Small Ensemble","As Fair As Morn","Wilbye","Harris","Harold Flammer, Inc.","1",""
"171-1-20457","Treble Small Ensemble","Away, Thou Shalt Not Love Me","Wilbye","Dart","Galaxy Music Corporation [Invitation to Madrigals, Book 3]","1",""
"171-1-23778","Treble Small Ensemble","We See That Men Do Ever (Nous voyons que les Hommes)","Arcadelt","Malin","Belwin, Inc [Songs of the Late Renaissance]","1","(French) (also pub separately)"
"171-1-27371","Treble Small Ensemble","What If I Never Speed?","Dowland","Neaum","Banks Music Publications","1",""
"171-1-27372","Treble Small Ensemble","I.  Il mio martir (My torment) (from Canzonette a tre)","Monteverdi","Yakkey","TCMP","1","(SSA)"
"171-1-27373","Treble Small Ensemble","II. Son quest'i crespi crini (These are the curly locks) (from Canzonette a tre)","Monteverdi","Yakkey","TCMP","1","(SSA)"
"171-1-27374","Treble Small Ensemble","III. Godi pur del bel sen (Delight in the beautiful bosom) (from Canzonette a tre)","Monteverdi","","TCMP","1","(SSA)"
"171-1-27375","Treble Small Ensemble","IV. Hor care conzonette (Now dear canzonets) (from Canzonette a tre)","Monteverdi","Yakkey","TCMP","1","(SSA)"
"171-1-27376","Treble Small Ensemble","O Grief Even on the Bud","Morley","Thoburn","Lawson-Gould Music Publishing Company","1","(SSAA)"
"171-1-29574","Treble Small Ensemble","I. Au Joli Jeu (from Two European Madrigals)","Jannequin","Harris","Walton Music Corporation","1","(SSA)"
"171-1-29575","Treble Small Ensemble","Lenz Kommt Herbei (from Two European Madrigals)","Gregor Lange","Gackle","Walton Music Corporation","1","(SSA)"
"171-1-34237","Treble Small Ensemble","I Shall Keep Singing","Silvey","","Carl Fischer, Inc.","1","(SSA) (a cappella)"
"171-1-34238","Treble Small Ensemble","Dominus Vobiscum","Narverud","","Carl Fischer, Inc.","1","(SSA) (div) (a cappella)"
"171-1-34239","Treble Small Ensemble","By an' By","Traditional","Silvey","Carl Fischer, Inc.","1","(SSA) (divisi) (a cappella)"
"171-1-34240","Treble Small Ensemble","Jenny","Myers","","Lawson-Gould Music Publishing Company","1","(SSAA) (divisi) (a cappella)"
"171-1-34242","Treble Small Ensemble","Chi la Gagliarda","Donato","Stroope","Alliance Music Publications","1","(SSA) (a cappella)"
"171-1-34243","Treble Small Ensemble","Vere Languores Nostros","Lotti","Juneau, ed.","Hal Leonard Music, Inc.","1","(SSA) (a cappella)"
"171-2-20458","Treble Small Ensemble","Which is the Properest Day to Drink","Arne","","Faber Music, Ltd. [300 years of English Partsongs]","2",""
"171-2-20459","Treble Small Ensemble","All Glory, Laud and Honor","Bach","Geer","E.C. Schirmer Music Company [131 Chorales, Book IV]","2","(SSAA)"
"171-2-20460","Treble Small Ensemble","Jesus Christ, My Sure Defense","Bach","Geer","E.C. Schirmer Music Company [131 Chorales, Book IV]","2","(SSAA)"
"171-2-20461","Treble Small Ensemble","Lord Jesu Christ, the Prince of Peace","Bach","Geer","E.C. Schirmer Music Company [131 Chorales, Book IV]","2","(SSAA)"
"171-2-20462","Treble Small Ensemble","O Jesu Sweet","Bach","Geer","Carl Fischer, Inc.","2","(German) (SSAA) (sing two verses) (a cappella)"
"171-2-20464","Treble Small Ensemble","Your Shining Eyes","Bateson","Malin","Belwin, Inc [Songs of the Late Renaissance]","2",""
"171-2-20465","Treble Small Ensemble","Velvet Shoes","Copley","","Shawnee Press","2",""
"171-2-20466","Treble Small Ensemble","A Summertime Dream","Crocker","","Southern Music Company","2","(SSA) (a cappella)"
"171-2-20467","Treble Small Ensemble","Molly Alone","Davis","","Remick Music Corporation (See Alfred)","2",""
"171-2-20468","Treble Small Ensemble","Good Day, My Dear","di Lasso","Greyson","Bourne, Co.","2","(French)"
"171-2-20470","Treble Small Ensemble","With Joy Will I My Time Be Spending (Mit Lust will ich mein Zeit zubringen)","Friderici","","Belwin, Inc","2","(English or German)"
"171-2-20471","Treble Small Ensemble","Come Let Your Hearts Be Singing","Gastoldi","Greyson","Bourne, Co.","2","(English or German) (SSA)"
"171-2-20472","Treble Small Ensemble","Il Ballerino","Gastoldi","Petti","J&W Chester, Ltd. [Chester Book of Madrigals, The, Vol. 5]","2","(Italian)"
"171-2-20473","Treble Small Ensemble","Maidens Fair of Mantua's City","Gastoldi","","Belwin, Inc [Madrigals for Treble Voices]","2",""
"171-2-20474","Treble Small Ensemble","This Sweet and Lovely Siren (Questa Dolce Sirena)","Gastoldi","Greyson","Bourne, Co.","2","(English or Italian)(unaccomp)"
"171-2-20475","Treble Small Ensemble","Lasst frohlich nun uns singen","Gumpelzhaimer","Kraus","G. Schirmer, Inc. [European Madrigals for Equal Voices]","2","(German)"
"171-2-20476","Treble Small Ensemble","Sweet Day","Handel","Diack","Carl Fischer, Inc.","2",""
"171-2-20477","Treble Small Ensemble","Three Renaissance Pieces for Treble Voices","Anon. or Trad.","Harris","Shawnee Press","2","(sing one)"
"171-2-20478","Treble Small Ensemble","Three Renaissance Pieces, Volume II","Anon. or Trad.","Harris","Shawnee Press","2","(sing one)"
"171-2-20479","Treble Small Ensemble","Come Let Us Start a Joyful Song","Hassler","Greyson","Bourne, Co.","2",""
"171-2-20480","Treble Small Ensemble","Love, For You My Heart Is Burning","Jeep","Ehret","Lawson-Gould Music Publishing Company","2","(a cappella)"
"171-2-20481","Treble Small Ensemble","O Music, Thou Most Lovely Art","Jeep","","Roger Dean Publishing Company","2",""
"171-2-20482","Treble Small Ensemble","My Heart to Thee Now Makes Its Plea","di Lasso","","Belwin, Inc [Madrigals for Treble Voices]","2",""
"171-2-20483","Treble Small Ensemble","Ah, Pity Me, Beloved (A matemi ben mio)","Marenzio","Kraus","G. Schirmer, Inc. [European Madrigals for Equal Voices]","2","(English or Italian)"
"171-2-20484","Treble Small Ensemble","Occhi dolci e soavi","Marenzio","Kraus","G. Schirmer, Inc. [European Madrigals for Equal Voices]","2","(Italian)"
"171-2-20485","Treble Small Ensemble","Ah, Must We Part?","Monteverdi","","Roger Dean Publishing Company","2",""
"171-2-20486","Treble Small Ensemble","Qual si puo dir maggiore","Monteverdi","Kraus","G. Schirmer, Inc. [European Madrigals for Equal Voices]","2","(Italian)"
"171-2-20487","Treble Small Ensemble","And the Green Grass Grew","Moore","","Alfred Music Company, Inc.","2","(SSA)"
"171-2-20488","Treble Small Ensemble","The Merry Month of May","Moore","","Alfred Music Company, Inc.","2","(SSA)"
"171-2-20489","Treble Small Ensemble","It Was a Lover and His Lass","Morley","Dart","Galaxy Music Corporation [Invitation to Madrigals, Book 3]","2",""
"171-2-20490","Treble Small Ensemble","Love Learns By Laughing","Morley","Fellowes","Galaxy Music Corporation","2",""
"171-2-20492","Treble Small Ensemble","Now is the Month of Maying","Morley","Harris","Multiple Publishers;Harold Flammer, Inc.;Warner Bros. Music Publications Inc. [Madrigals for Treble Voices]","2","(SSA)"
"171-2-20493","Treble Small Ensemble","See, Mine Own Sweet Jewel","Morley","Dart","Galaxy Music Corporation [Invitation to Madrigals, Book 3]","2",""
"171-2-20494","Treble Small Ensemble","Cantate Domino","Pitoni","Greyson","Bourne, Co.","2","(SSA) (a cappella)"
"171-2-20495","Treble Small Ensemble","When First I Saw Thee","Porter","Dart","Galaxy Music Corporation [Invitation to Madrigals, Book 3]","2",""
"171-2-20496","Treble Small Ensemble","Ah! How Pleasant 'Tis to Love","Purcell","Jacques","Oxford University Press","2",""
"171-2-20497","Treble Small Ensemble","Fairest Isle","Purcell","Jacques","Oxford University Press","2",""
"171-2-20498","Treble Small Ensemble","The Mavis","Purcell","Harris","G. Schirmer, Inc.","2",""
"171-2-20499","Treble Small Ensemble","My Mouth Would Sing (Mein Mund Der Singt)","Regnart","Malin","Belwin, Inc","2","(English or German)"
"171-2-20500","Treble Small Ensemble","Now Am I Free Once More (Nun bin ich einmal fre)","Regnart","","Belwin, Inc [Songs of the Late Renaissance]","2","(English or German)"
"171-2-20501","Treble Small Ensemble","This is the Time","Regnart","","Belwin, Inc [Songs of the Late Renaissance]","2",""
"171-2-20502","Treble Small Ensemble","Tomorrow is the Marriage Day","Richardson","","Hope Publishing Company","2",""
"171-2-20503","Treble Small Ensemble","Fa una canzona","Vecchi","Robinson","Belwin, Inc","2","(Italian) (SSA)"
"171-2-20504","Treble Small Ensemble","Let All Who Sing Be Merry","Vecchi","","Belwin, Inc [Madrigals for Treble Voices]","2",""
"171-2-20505","Treble Small Ensemble","Fly Not So Fast","Ward","Dart","Galaxy Music Corporation [Invitation to Madrigals, Book 3]","2",""
"171-2-20506","Treble Small Ensemble","Come Now, My Dearest Jewel","Weelkes","Walker","Shawnee Press","2",""
"171-2-20507","Treble Small Ensemble","Some Men Desire Spouses","Weelkes","","Belwin, Inc [Madrigals for Treble Voices]","2",""
"171-2-20509","Treble Small Ensemble","Though My Carriage Be But Careless","Weelkes","Hall","Multiple Publishers;Galaxy Music Corporation [Invitation to Madrigals, Book 3];National Music Publishers, Inc.","2","(opt inst)"
"171-2-20510","Treble Small Ensemble","Welcome Sweet Pleasure","Weelkes","Harris","Belwin, Inc","2","(SSA)"
"171-2-20511","Treble Small Ensemble","Seek Sweet Content","Wilbye","","Lawson-Gould Music Publishing Company","2",""
"171-2-20512","Treble Small Ensemble","Only Joy, Now Here You Are","Youll","Shipp","Lawson-Gould Music Publishing Company","2",""
"171-2-20513","Treble Small Ensemble","While Joyful Springtime Lasteth","Youll","Dart","Galaxy Music Corporation [Invitation to Madrigals, Book 3]","2",""
"171-2-22777","Treble Small Ensemble","How Merrily We Live","Este","Barrie","Multiple Publishers;Lawson-Gould Music Publishing Company;Galaxy Music Corporation [Invitation to Madrigals, Book 3]","2",""
"171-2-27377","Treble Small Ensemble","O Hear the Joyful Music","Banchieri","Liebergen","Alfred Music Company, Inc.","2",""
"171-2-27378","Treble Small Ensemble","Celebrate This Day Together","Clereau","Liebergen","Hal Leonard Music, Inc.","2",""
"171-2-27380","Treble Small Ensemble","In These Delightful Pleasant Groves","Purcell","Robinson","Alfred Music Company, Inc.","2",""
"171-2-34244","Treble Small Ensemble","Puer Natus","Da Rold","","Alliance Music Publications","2","(SSA) (a cappella)"
"171-2-34245","Treble Small Ensemble","Blessed be That Maid Marie","Anonymous","Leininger","Alliance Music Publications","2","(SSA) (a cappella)"
"171-2-34246","Treble Small Ensemble","A Pleasant Life","Althouse","","Multiple Publishers;;Alfred Music Company, Inc.","2","(SSA with piano)"
"171-2-34247","Treble Small Ensemble","Loch Lomond","Folk Song","Donnelly & Strid","Alfred Music Company, Inc.","2","(SSA with piano)"
"171-2-34248","Treble Small Ensemble","O Magnum Mysterium","Ramos","","Brilee Music","2","(SSA) (a cappella)"
"171-2-34249","Treble Small Ensemble","Cantate Domino","Schutz","Grundahl","Colla Voce","2","(SSA) (a cappella)"
"171-3-20514","Treble Small Ensemble","Down Low in the Valley","Brahms","Trusler","Lawson-Gould Music Publishing Company","3",""
"171-3-20515","Treble Small Ensemble","Awake My Heart, With Gladness","Anon. or Trad.","Buszin","Schmitt, Hall & McCreary Company [Motets and Chorales for Treble Voices (Auditorium Series No. 32)]","3",""
"171-3-20516","Treble Small Ensemble","Cast Thy Burden Upon the Lord","Anon. or Trad.","Buszin","Schmitt, Hall & McCreary Company [Motets and Chorales for Treble Voices (Auditorium Series No. 32)]","3",""
"171-3-20517","Treble Small Ensemble","Comfort, Comfort Ye My People","Anon. or Trad.","Buszin","Schmitt, Hall & McCreary Company [Motets and Chorales for Treble Voices (Auditorium Series No. 32)]","3",""
"171-3-20518","Treble Small Ensemble","Jesus, Still Lead On","Anon. or Trad.","Buszin","Schmitt, Hall & McCreary Company [Motets and Chorales for Treble Voices (Auditorium Series No. 32)]","3",""
"171-3-20519","Treble Small Ensemble","Praise God, the Lord, Ye Sons of Men","Anon. or Trad.","Buszin","Schmitt, Hall & McCreary Company [Motets and Chorales for Treble Voices (Auditorium Series No. 32)]","3",""
"171-3-20520","Treble Small Ensemble","Sanctus","Anon. or Trad.","Buszin","Schmitt, Hall & McCreary Company [Motets and Chorales for Treble Voices (Auditorium Series No. 32)]","3",""
"171-3-20521","Treble Small Ensemble","Sing to the Lord, Ye Righteous","Anon. or Trad.","Buszin","Schmitt, Hall & McCreary Company [Motets and Chorales for Treble Voices (Auditorium Series No. 32)]","3",""
"171-3-20522","Treble Small Ensemble","Song of Praise","Anon. or Trad.","Buszin","Schmitt, Hall & McCreary Company [Motets and Chorales for Treble Voices (Auditorium Series No. 32)]","3",""
"171-3-20523","Treble Small Ensemble","Whatever God Ordains is Good","Anon. or Trad.","Buszin","Schmitt, Hall & McCreary Company [Motets and Chorales for Treble Voices (Auditorium Series No. 32)]","3",""
"171-3-20524","Treble Small Ensemble","Non, nobis Domine","Byrd","Bartle","Hinshaw Music Inc.","3",""
"171-3-20525","Treble Small Ensemble","Veni Jesu","Cherubini","Weck","Hope Publishing Company","3","(Latin) (sat)"
"171-3-20526","Treble Small Ensemble","Dear Little Love","Clemens non Papa","Kraus","G. Schirmer, Inc. [European Madrigals for Equal Voices]","3",""
"171-3-20527","Treble Small Ensemble","Now Each Flow'ry Bank of May","Crocker","","Southern Music Company","3","(SSA)"
"171-3-20528","Treble Small Ensemble","Robin Love Me","de la Halle","","Edition Musicus-New York, Inc.","3",""
"171-3-20530","Treble Small Ensemble","Sing Alleluia","Forsblad","","Pro-Art Publications","3",""
"171-3-20531","Treble Small Ensemble","Da Pacem Domine","Goetze","","Boosey & Hawkes, Inc.","3","(4 part canon)"
"171-3-20532","Treble Small Ensemble","My Heart Leaps Up with Gladness","Hagius","Kraus","G. Schirmer, Inc. [European Madrigals for Equal Voices]","3","(sing two verses)"
"171-3-20533","Treble Small Ensemble","Gute Nacht","Anon. or Trad.","McKelvy","Mark Foster Music Company","3","(English or German) (piano)"
"171-3-20534","Treble Small Ensemble","Though Philomela Lost Her Love","Morley","Dart","Galaxy Music Corporation [Invitation to Madrigals, Book 3]","3",""
"171-3-20535","Treble Small Ensemble","Every Night When the Sun Goes In","Anon. or Trad.","Owen","Theodore Presser Company [Presser Choral Collection (SSA)]","3","(piano)"
"171-3-20536","Treble Small Ensemble","All My Endeavor","Regnart","Kraus","G. Schirmer, Inc. [European Madrigals for Equal Voices]","3",""
"171-3-20537","Treble Small Ensemble","Fresh is the Maytime","Schein","Malin","Belwin, Inc","3","(English or German)"
"171-3-20538","Treble Small Ensemble","All the Pretty Little Horses","Anon. or Trad.","Scott","Harold Flammer, Inc.","3",""
"171-3-20539","Treble Small Ensemble","The Game","Shearer","Collins","Southern Music Company","3","(SSA)"
"171-3-20540","Treble Small Ensemble","Two Songs","Shearer","Gibbons/Herrick","Southern Music Company","3","(sing one)"
"171-3-20541","Treble Small Ensemble","Rocking Carol","Anon. or Trad.","Shearer","Southern Music Company","3",""
"171-3-20542","Treble Small Ensemble","Hail to Thee, O Music","Anon. or Trad.","Van Camp","The Unicorn Music Company","3","(sing # 1 or 2)"
"171-3-20543","Treble Small Ensemble","In the Merry Month of May","Youll","","Belwin, Inc [Songs of the Late Renaissance]","3",""
"171-3-27381","Treble Small Ensemble","1. Come, Celebrate this Festive Day (from Three New Madrigals)","Althouse","","Alfred Music Company, Inc.","3",""
"171-3-27382","Treble Small Ensemble","2. How Fair a Rose? (from Three New Madrigals)","Althouse","","Alfred Music Company, Inc.","3",""
"171-3-27383","Treble Small Ensemble","3.  All Ye, the Music Makers (from Three New Madrigals)","Althouse","","Alfred Music Company, Inc.","3",""
"171-3-27384","Treble Small Ensemble","Ave Maria (from Two Renaissance Chorals For Women)","Arcadelt","Robinson","Belwin, Inc","3","(unaccomp)"
"171-3-27385","Treble Small Ensemble","Come, Celebrate with Joyful Pleasure","Arcadelt","Liebergen","Alfred Music Company, Inc.","3","(no inst)"
"171-3-27386","Treble Small Ensemble","Rise Up In Festive Song","Clereau","Liebergen","Brilee Music","3",""
"171-3-27387","Treble Small Ensemble","All Ye Who Music Love","Donato","Robinson","Alfred Music Company, Inc.","3",""
"171-3-27388","Treble Small Ensemble","Adoramus Te (from Two Renaissance Chorals For Women)","Palestrina","Robinson","Belwin, Inc","3",""
"171-3-34250","Treble Small Ensemble","Abendlied","Mendelssohn","Robinson","Alfred Music Company, Inc.","3","(SA with piano)"
"171-3-34251","Treble Small Ensemble","I Will Sing You the Stars","Burrows","","Alfred Music Company, Inc.","3","(SSA with piano)"
"171-3-34252","Treble Small Ensemble","Beyond","Courtney","","Alfred Music Company, Inc.","3","(SSA with piano)"
"171-3-34253","Treble Small Ensemble","Thula, Thula Ngoana","Traditional","Beck","Alfred Music Company, Inc.","3","(SSA with piano)"
"171-3-34254","Treble Small Ensemble","Ven Jesu","Cherubini","Robinson","Alfred Music Company, Inc.","3","(SSA) (with piano or A Cappella)"
"171-3-34255","Treble Small Ensemble","In Dulci Jubilo","Praetorius","Leck","Hal Leonard Music, Inc.","3","(SA with optional piano)"
"172-1-20544","Tenor-Bass Small Ensemble","In The Shade Of The Old Apple Tree","Alstyne","Rector","The Society for the Preservation and Encouragement of Barber Shop Quartet Singing in America, Inc.","1",""
"172-1-20545","Tenor-Bass Small Ensemble","You're the Flower of My Heart, Sweet Adeline","Armstrong","Meyer","The Society for the Preservation and Encouragement of Barber Shop Quartet Singing in America, Inc.","1",""
"172-1-20546","Tenor-Bass Small Ensemble","De Animals A-Comin'","Anon. or Trad.","Bartholomew","G. Schirmer, Inc.","1",""
"172-1-20547","Tenor-Bass Small Ensemble","Shenandoah","Anon. or Trad.","Bartholomew","G. Schirmer, Inc.","1",""
"172-1-20548","Tenor-Bass Small Ensemble","Shine On Harvest Moon","Bayes","Norworth","Belwin, Inc","1",""
"172-1-20549","Tenor-Bass Small Ensemble","Alexander's Ragtime Band","Berlin","Szabo","Irving Berlin, Inc.","1",""
"172-1-20550","Tenor-Bass Small Ensemble","God Bless America","Berlin","Lyne","Irving Berlin, Inc.","1",""
"172-1-20551","Tenor-Bass Small Ensemble","The Girl That I Marry","Berlin","Driscoll","Irving Berlin, Inc.","1",""
"172-1-20552","Tenor-Bass Small Ensemble","You, My Only Light","Brahms","Pfautsch","Lawson-Gould Music Publishing Company [Five German Folksongs]","1",""
"172-1-20553","Tenor-Bass Small Ensemble","Rustics And Fishermen","Britten","","Boosey & Hawkes, Inc.","1",""
"172-1-20554","Tenor-Bass Small Ensemble","The Yankee Doodle Boy","Cohan","Hicks","Marks Music Corporation [Good Time Harmonies]","1",""
"172-1-20555","Tenor-Bass Small Ensemble","You're A Grand Old Flag","Cohan","Lyne","Marks Music Corporation [Good Time Harmonies]","1",""
"172-1-20556","Tenor-Bass Small Ensemble","Waltzing Matilda","Cowan","Simon","Carl Fischer, Inc.","1",""
"172-1-20557","Tenor-Bass Small Ensemble","Hush! Somebody's Callin' My Name","Anon. or Trad.","Dennard","Shawnee Press","1",""
"172-1-20558","Tenor-Bass Small Ensemble","Steal Away","Anon. or Trad.","Dennard","Shawnee Press","1",""
"172-1-20559","Tenor-Bass Small Ensemble","Three Chansons for Men's Voices","des Pres","","Broude Brothers","1","(sing one)"
"172-1-20560","Tenor-Bass Small Ensemble","Loch Lomond","Anon. or Trad.","Duson","Neil A. Kjos Music Company","1",""
"172-1-20561","Tenor-Bass Small Ensemble","Thou Didst Delight My Eyes","Finzi","","Boosey & Hawkes, Inc.","1",""
"172-1-20562","Tenor-Bass Small Ensemble","Coventry Carol","Anon. or Trad.","Gilbert","Oxford University Press","1",""
"172-1-20563","Tenor-Bass Small Ensemble","Side By Side","Anon. or Trad.","Haeger","Shapiro, Bernstein & Company","1",""
"172-1-20564","Tenor-Bass Small Ensemble","Poor Man Lazrus","Hairston","","Bourne, Co.","1",""
"172-1-20565","Tenor-Bass Small Ensemble","Hello My Baby","Hicks","Howard-Emerson","Bourne, Co.","1",""
"172-1-20566","Tenor-Bass Small Ensemble","Yes Sir, That's My Baby","Hicks","Donaldson","Bourne, Co.","1",""
"172-1-20567","Tenor-Bass Small Ensemble","Aura Lee","Hunter","Parker/Shaw","Lawson-Gould Music Publishing Company","1",""
"172-1-20568","Tenor-Bass Small Ensemble","This Is My Country","Jacobs","","Shawnee Press","1",""
"172-1-20569","Tenor-Bass Small Ensemble","Hymn to Music","Markley","","Alliance Music Publications","1",""
"172-1-20570","Tenor-Bass Small Ensemble","The Morning Star On High","Praetorius","Beveridge","E.C. Schirmer Music Company","1",""
"172-1-20571","Tenor-Bass Small Ensemble","Do You Fear the Wind?","Sateren","","Schmitt, Hall & McCreary Company","1",""
"172-1-20572","Tenor-Bass Small Ensemble","Liebe","Schubert","Haberlen","Mark Foster Music Company","1",""
"172-1-20573","Tenor-Bass Small Ensemble","Nocturnal Serenade (Nachtliches Standchen)","Schubert","Stroh-Red","Walton Music Corporation","1",""
"172-1-20574","Tenor-Bass Small Ensemble","A Red, Red Rose","Schumann","Pfautsch","Lawson-Gould Music Publishing Company","1",""
"172-1-20575","Tenor-Bass Small Ensemble","Let Sounds of Joy Be Heard","Schumann","Pfautsch","Lawson-Gould Music Publishing Company [Three Songs for Male Chorus]","1",""
"172-1-20576","Tenor-Bass Small Ensemble","The Long Day Closes","Sullivan","King's Singers","HMC","1",""
"172-1-20577","Tenor-Bass Small Ensemble","Down By The Old Mill Stream","Taylor","Diekema","Foster Music Publisher, Inc.","1",""
"172-1-20578","Tenor-Bass Small Ensemble","Rise Up, O Men of God!","Walter","Grotenhuis","National Music Publishers, Inc.","1",""
"172-1-20579","Tenor-Bass Small Ensemble","The Band Played On","Ward","Meyer","The Society for the Preservation and Encouragement of Barber Shop Quartet Singing in America, Inc.","1",""
"172-1-20580","Tenor-Bass Small Ensemble","When You Wore A Tulip And I Wore A Big Red Rose","Wenrich","Haeger","United Artists Music","1",""
"172-1-27389","Tenor-Bass Small Ensemble","The Hunting of the Hare","Pearce","King's Singers","Hal Leonard Music, Inc. [king'singers English Renaissance Volume 1]","1","(TTBB)"
"172-1-27390","Tenor-Bass Small Ensemble","A Round of Three Country Dances in One","Ravenscroft","King's Singers","Hal Leonard Music, Inc. [king'singers English Renaissance Volume 1]","1","(TTBB)"
"172-1-27391","Tenor-Bass Small Ensemble","Colorado Trail","Anon. or Trad.","Walter","Alliance Publications, Inc.","1","(TTBB)"
